,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,3370358,Self-Publish or Get an Agent?,4.4,5,0.5,4,Business,Media,Writing a Book,Megan Haskell,English,False,0,1,0,3.5 hours,14,No,88.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3305892,German Simplified (Beginner),5.0,5,0.5,1,Teaching & Academics,Language Learning,German Language,Geetika Batra,English,False,0,0,0,3.5 hours,3,No,34.98,
0,4090816,How to be productive and get things done,0,0,0,0,Personal Development,Personal Productivity,,Sarah Omar,English,False,0,1,0,1 hour,0,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4144216,An Introduction to Mindfulness and Happiness,5.0,5,0.5,1,Health & Fitness,Meditation,Mindfulness,David Johnson,English,False,0,2,0,2 hours,0,No,49.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,979132,Planning Your Work Wardrobe: Dress Without Stress,4.8,5,0.5,7,Personal Development,Personal Brand Building,Personal Branding,Julianne Benford,English,False,0,2,0,1 hour,3,No,44.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3082282,Nose Work for the Companion Dog,4.7,5,0.5,4,Lifestyle,Pet Care & Training,Dog Training,Anke King,English,False,0,7,0,1 hour,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3855392,How to Safely Return Your Team to the Workspace Post COVID19,5.0,5,0.5,2,Business,Operations,Workplace Health and Safety,Dom O'Neill,English,False,0,0,0,36 mins,0,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4159486,How To Create WordPress Website 2021,0,0,0,0,Development,Web Development,WordPress,Osman Altaf Tarar,English,False,0,0,0,1 hour,0,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3916962,Adult Acne: Skincare for Clear Skin,5.0,5,0.5,2,Health & Fitness,Other Health & Fitness,Skincare,Ellie Deans,English,False,0,0,0,1.5 hours,2,No,68.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2803609,Become a Professional Football (Soccer) Coach,4.5,5,0.5,65,Health & Fitness,Sports,Soccer,Vladimir Kartashov,English,False,0,0,0,2.5 hours,1,Yes,44.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1548060,Software Architecture for the Enterprise Architect,4.1,5,0.5,3283,Development,Software Engineering,Software Architecture,Binary Brain,English,False,0,0,0,1.5 hours,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4062098,Complete Guide: Create Your Custom At Home Filming Setup,5.0,5,0.5,25,Photography & Video,Video Design,Cinematography,Julian Melanson,English,False,0,3,0,3 hours,12,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1038816,Edit Like a Pro! - 4 - Castletown Stately Home,5.0,5,0.5,1,Photography & Video,Photography Tools,Image Editing,Joe Houghton,English,False,0,0,0,1 hour,0,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,401998,Crash Course Electronics and PCB Design,4.6,5,0.5,8396,Design,Other Design,Electronics,Andre LaMothe,English,True,0,0,0,105.5 hours,13,Yes,108.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
