,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
3275,Identifying the Proper Balance of Internal Controls,4.4,5,0.5,28,Finance & Accounting,Accounting & Bookkeeping,Accounting,Illumeo Learning,English,False,0,2,0,2.0,2,No,59.98,22.0
3276,Electric Circuits In Depth Part 1,5.0,5,0.5,3,Teaching & Academics,Engineering,Electrical Circuits,Muhammad Kashif,English,False,0,0,0,2.0,0,No,44.98,22.0
3277,Advanced Chess Lessons with FM Mike Ivanov,4.9,5,0.5,96,Lifestyle,Gaming,Chess,Mike Ivanov,English,False,0,0,0,3.5,3,No,29.98,29.98
3278,Music + Audio Production in Logic Pro X - The Complete Guide,4.6,5,0.5,11418,Music,Music Production,Logic Pro X,Make Pro Music,English,True,0,15,0,40.0,2,No,128.98,22.0
3279,How To Dance?,0.0,0,0.0,0,Health & Fitness,Dance,Unknown,Rohan Bhardwaj,English,False,0,0,0,0.55,0,No,59.98,22.0
3280,Advanced Bowen Therapy NO MASSAGE Certificate Course,5.0,5,0.5,8,Health & Fitness,General Health,Massage,Mark Perren-Jones,English,False,0,0,0,6.0,34,No,128.98,22.0
3281,Performance Management For Managers,4.3,5,0.5,2470,Business,Management,Employee Performance Management,Life Progression Project,English,False,0,0,0,1.5,7,No,128.98,22.0
3282,Candlestick Patterns to Master Forex Trading Price Action,4.5,5,0.5,2705,Finance & Accounting,Investing & Trading,Candlestick Trading,Federico Sellitti,English,False,0,7,0,4.0,6,No,128.98,22.0
3283,English Crash Course,0.0,0,0.0,0,Personal Development,Memory & Study Skills,English Language,Susie Woo,English,False,0,0,0,1.0,4,No,40.98,22.0
3284,Create Own Agency WordPress Website Using Elementor In 2021,0.0,0,0.0,0,Development,No-Code Development,WordPress,Sagar Sp,English,False,0,0,0,5.0,1,No,49.98,22.0
3285,Natural Skincare :: Luscious herbal Recipes for Younger Skin,4.7,5,0.5,562,Lifestyle,Beauty & Makeup,Beauty,Elizabeth Heck,English,False,0,4,0,1.0,1,No,78.98,22.0
3286,Spiritual Awakening Mastery Course,4.7,5,0.5,130,Personal Development,Religion & Spirituality,Spirituality,Angelica King,English,False,0,0,0,4.0,0,No,29.98,22.0
3287,Guided Meditations for Inner Balance,5.0,5,0.5,3,Personal Development,Stress Management,Meditation,Debbie Bell,English,False,0,0,0,2.5,16,No,29.98,22.0
3288,C_THR84_2105 | SAP SuccessFactors Recruiting: Cand. Exp. 1H,0.0,0,0.0,0,Office Productivity,SAP,SAP Certified Application Associate - SAP SuccessFactors,Rohit Redhu,English,False,3,0,0,0.0,0,No,40.98,22.0
3289,"Mergers & Acquisitions - M&A, Valuation & Selling a Company",4.5,5,0.5,1559,Business,Entrepreneurship,Mergers and Acquisitions,"John Colley MBA, MA(Cantab)",English,False,0,2,0,7.0,73,Yes,40.98,22.0
3290,QuickBooks Online Made Easy: The Complete Course and Manual,0.0,0,0.0,0,Finance & Accounting,Accounting & Bookkeeping,QuickBooks Online,"TeachUcomp, Inc.",English,False,0,0,0,10.5,1,No,108.98,22.0
3291,The invention of the Euro - Robert Mundell,4.9,5,0.5,101,Teaching & Academics,Social Science,Economics,EDOOTV - The knowledge dispenser,English,False,0,1,0,1.0,0,No,34.98,34.98
3292,Happiness Life Coach Certification  (Accredited),4.5,5,0.5,4311,Personal Development,Happiness,Life Coach Training,Joeel & Natalie Rivera,English,False,0,8,0,5.5,18,No,148.98,24.0
