,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,Complete Hypnotherapy & Hypnosis Certification Diploma,4.7,5,0.5,3524,Lifestyle,Esoteric Practices,Hypnotherapy,Dr Karen E Wells,English,False,0,4,0,3.0,0,Yes,104.98,26.0
1,Pinterest Marketing for Wedding Professionals 2020,5.0,5,0.5,1,Marketing,Social Media Marketing,Pinterest Marketing,Staci Nichols,English,False,0,0,0,0.6,2,No,29.98,22.0
2,Master the Telephone Sales- Cold calling Secrets,4.5,5,0.5,3,Marketing,Product Marketing,Marketing Strategy,Sanjay Bhasin,English,False,0,0,0,0.7333333333333333,0,No,29.98,22.0
3,5 Practical Management concepts you MUST know,5.0,5,0.5,2,Personal Development,Leadership,Management Skills,Vasudev Murthy,English,False,0,0,0,2.0,0,No,49.98,22.0
4,Fermented Foods Mastery,4.5,5,0.5,187,Health & Fitness,Nutrition,Fermented Foods,Kale Brock,English,False,0,3,0,1.5,12,No,68.98,24.0
5,Your Guide To Creating Money-Savvy Kids,5.0,5,0.5,2,Finance & Accounting,Other Finance & Accounting,Personal Finance,Jeremy Saker,English,False,0,0,0,1.5,15,No,29.98,22.0
6,Wix Master Course: Make A Website with Wix (FULL 4 HOURS),4.4,5,0.5,1309,Development,No-Code Development,Wix,Nickie Rowley,English,False,0,1,0,4.5,3,Yes,40.98,27.0
7,"The Complete App Design Course - UX, UI and Design Thinking",4.4,5,0.5,8421,Design,User Experience Design,Mobile App Design,App Brewery Co.,English,False,0,14,0,3.0,1,No,128.98,22.0
8,Product Marketing Fundamentals,4.5,5,0.5,1,Marketing,Product Marketing,Marketing Strategy,Institute of Product Leadership,English,False,0,0,0,2.5,0,No,49.98,22.0
9,Analog Circuit Crash Course for VLSI Interview and GATE exam,5.0,5,0.5,3,IT & Software,Hardware,VLSI,Learnin28days Academy,English,False,0,0,0,7.0,0,No,29.98,29.98
10,How to write your teaching portfolio,5.0,5,0.5,2,Teaching & Academics,Other Teaching & Academics,Professional Portfolio,Dr. Elisabeth Weber,English,False,0,0,0,2.0,14,No,128.98,22.0
11,Procedural Materials In Blender,0.0,0,0.0,0,Design,3D & Animation,Blender,Canopy Games,English,False,0,0,0,3.5,6,No,29.98,22.0
12,Indicators of attacks by using Wireshark,5.0,5,0.5,1,IT & Software,Network & Security,Cyber Security,Ali N F,English,False,0,0,0,4.5,2,No,128.98,22.0
13,Creative Ideas for Logo Animation,4.5,5,0.5,25,Photography & Video,Other Photography & Video,Motion Graphics,Tiger Verse,English,False,0,0,0,0.55,4,No,59.98,22.0
14,Learn to Sing Beginner to Pro! - #1 Complete Singing Course,4.7,5,0.5,75,Music,Vocal,Singing,Emily Reed,English,False,0,5,0,1.5,34,No,108.98,22.0
15,Grow Your Network With Live Streams on Meerkat,5.0,5,0.5,1,Marketing,Social Media Marketing,Live Streaming,Benjamin East,English,False,0,1,0,0.7166666666666667,0,No,29.98,22.0
16,Find your dream job/ internship using Angel List Talent,4.3,5,0.5,6,Personal Development,Career Development,Job Search,Studism Classes,English,False,0,0,0,0.5666666666666667,0,No,29.98,22.0
17,Create Your Own VirtualBox Windows Server Lab from Scratch!,5.0,5,0.5,44,IT & Software,Operating Systems & Servers,VirtualBox,"Alton Hardin | 100,000+ Enrollments Worldwide",English,False,0,4,0,2.5,2,No,40.98,22.0
18,Managing International Teams: your Keys to Success,5.0,5,0.5,3,Business,Human Resources,Virtual Teams,Nathalie Delplanque,English,False,0,0,0,1.0,2,No,68.98,22.0
19,Introduction to Mind Mapping,5.0,5,0.5,1,Personal Development,Memory & Study Skills,Mind Mapping,Jayne Cormie,English,False,0,3,0,3.0,50,No,59.98,59.98
20,Learn piano or keyboard from scratch - Complete piano course,4.7,5,0.5,2814,Music,Instruments,Piano,Martin Cohen,English,False,0,36,0,22.5,480,No,128.98,22.0
21,Consciously Creating - Healing Your Unconscious Patterns,5.0,5,0.5,4,Personal Development,Personal Transformation,Self-Acceptance,Julia Chi Taylor,English,False,0,0,0,3.0,10,No,55.98,55.98
22,Nikon DSLR Photography: Getting Started with Your DSLR,4.5,5,0.5,367,Photography & Video,Photography Tools,DSLR,Phil Ebiner,English,False,0,3,0,2.0,7,No,108.98,22.0
23,The Scrum Bootcamp | Scrum Practices | Scrum Case Studies,4.6,5,0.5,136,Teaching & Academics,Other Teaching & Academics,Scrum,"Elite Instructors, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",English,False,0,2,0,5.0,8,No,128.98,22.0
24,Songwriting Basics for Ballads in 7 Easy Steps,0.0,0,0.0,0,Music,Other Music,Songwriting,Franco Bello,English,False,0,0,0,1.5,9,No,34.98,22.0
25,Hotel Management - Night Auditing Procedures,3.0,5,0.5,1,Finance & Accounting,Finance,Hotel Management,RAVI Sharma Hospitality Academy,English,False,0,0,0,1.5,0,No,29.98,22.0
26,Adobe Connect Basic Tools,0.0,0,0.0,0,Teaching & Academics,Online Education,Video Conferencing,Penta Teknoloji,English,False,0,0,0,1.5,0,No,128.98,22.0
27,NAVIGATION: Piloting Small Boats,3.5,5,0.5,28,Lifestyle,Travel,Marine Navigation,Larry Prucha,English,False,0,0,0,1.5,10,No,29.98,22.0
28,Blue Prism Foundation Course,4.6,5,0.5,3714,IT & Software,Other IT & Software,Blue Prism,Arun Nair,English,False,0,0,0,6.0,0,Yes,29.98,22.0
29,Facebook Accelerator For Artists,5.0,5,0.5,2,Design,Graphic Design & Illustration,Facebook Marketing,Melanie Greenwood,English,False,0,0,0,1.5,1,No,88.98,22.0
30,Big Changes Ahead In The US Tax Law-How It Will Affect You?,4.4,5,0.5,6,Finance & Accounting,Taxes,Tax Preparation,"Desarie Anderson, CPA, EA",English,False,0,0,0,1.0,0,No,68.98,22.0
31,The SEO MCQ practice test,5.0,5,0.5,2,Marketing,Search Engine Optimization,SEO,WebTech Studies,English,False,2,0,0,0.0,0,No,29.98,22.0
32,Your Spiritual Ascension: Embrace it! A practical guide,5.0,5,0.5,1,Personal Development,Happiness,Spirituality,Christina Papadopoulou,English,False,0,1,0,3.0,0,No,34.98,22.0
33,Building a Strong Internal Audit Department,4.3,5,0.5,30,Finance & Accounting,Accounting & Bookkeeping,Internal Auditing,Illumeo Learning,English,False,0,2,0,2.0,2,No,59.98,22.0
34,"Cost classification, Regression, CVP analysis and Budgeting",5.0,5,0.5,1,Teaching & Academics,Online Education,Management Accounting,Professor Francisco Vigario,English,False,0,0,0,9.5,0,No,29.98,22.0
35,How to Write Comic Strips,5.0,5,0.5,1,Lifestyle,Other Lifestyle,Comic Book Creation,HowExpert,English,False,0,0,0,1.5,0,No,40.98,40.98
36,"HTML, CSS and Bootstrap Practice Exams",4.9,5,0.5,6,Development,Web Development,HTML,Ahmed Magdy,English,False,6,0,0,0.0,0,No,55.98,22.0
37,Develop your innovation - Certified Design Thinking Bootcamp,4.2,5,0.5,2422,Design,Design Thinking,Unknown,Marcin Stasko,English,False,0,1,0,2.5,4,No,98.98,22.0
38,Photography is Easy (In English) by Vishal Diwan,4.7,5,0.5,406,Photography & Video,Photography,Unknown,Vishal Diwan,English,False,0,0,0,5.0,0,No,128.98,22.0
39,US Income Taxes - Income Tax Preparation Simplified for You,4.5,5,0.5,364,Finance & Accounting,Taxes,Tax Preparation,Majo Jacinto,English,False,0,0,0,2.5,28,No,40.98,22.0
40,Puppy workshop: Learn how to exercise your puppy safely.,4.8,5,0.5,4,Lifestyle,Pet Care & Training,Dog Care,Louise Harrison,English,False,0,3,0,0.5,0,No,29.98,22.0
41,8-Hour Yoga Alignment Course with Lesley Fightmaster,4.5,5,0.5,254,Health & Fitness,Yoga,Unknown,Lesley Fightmaster,English,False,0,0,0,8.0,0,No,78.98,78.98
42,3ds max for interior designers,0.0,0,0.0,0,Design,Interior Design,3ds Max,Aurelian Castravet,English,False,0,0,0,6.0,12,No,104.98,22.0
43,100 Days of Code - The Complete Python Pro Bootcamp for 2021,4.7,5,0.5,39747,Development,Programming Languages,Python,Dr. Angela Yu,English,False,0,229,1,60.0,116,No,128.98,22.0
44,SQL Server Reporting Services Part 1 (SSRS),4.5,5,0.5,1559,Development,Database Design & Development,SQL Server,Raphael Asghar,English,False,0,0,0,6.0,1,Yes,29.98,22.0
45,Thai Massage: Foot Reflexology Certificate Course,4.9,5,0.5,6,Health & Fitness,General Health,Reflexology,Michael Eric Everson,English,False,0,0,0,1.5,0,No,128.98,22.0
46,Speak the Horse Language: Master Your Horsemanship Energy,4.3,5,0.5,158,Lifestyle,Pet Care & Training,Horsemanship,Krystal Kelly,English,False,0,3,0,2.0,0,No,128.98,22.0
47,"Improve Online Meetings - Zoom, Microsoft Teams, Google Meet",5.0,5,0.5,1,Office Productivity,Other Office Productivity,Video Conferencing,Mike Letterman,English,False,0,0,0,1.0,0,No,29.98,22.0
48,Introduction to Herbalism,4.4,5,0.5,382,Health & Fitness,Nutrition,Herbalism,"Jennifer Hutchison MSc, CCMH",English,False,0,0,0,1.5,2,No,59.98,22.0
49,Oxford Diploma : Frail to fit in 50 lectures!,4.8,5,0.5,4,Health & Fitness,Fitness,Muscle Building,Chris Bankes Sivewright,English,False,0,0,0,8.5,1,No,128.98,22.0
50,Copywriting That Works!,4.7,5,0.5,4,Marketing,Content Marketing,Copywriting,Ed Stanfield,English,False,0,0,0,1.0,5,No,55.98,22.0
51,Aviation Meteorology: Enroute Weather,5.0,5,0.5,7,Business,Industry,Aviation,Anzijs Vilcevskis,English,False,0,0,0,1.5,13,No,104.98,22.0
52,Find Freelance Copywriting Clients Without Job Boards,4.1,5,0.5,17,Marketing,Marketing Fundamentals,Lead Generation,Alan Sharpe,English,False,0,0,0,3.5,0,No,29.98,22.0
53,How To Be Highly Successful A Carpenter,0.0,0,0.0,0,Marketing,Branding,Carpentry,Author Dr. Harris,English,False,0,8,0,1.0,0,No,34.98,22.0
54,Patetico - Argentine Tango Solo Choreography Course (solo),0.0,0,0.0,0,Health & Fitness,Dance,Tango Dance,Anita Flejter & Hernan Brizuela,English,False,0,0,0,16.0,0,No,128.98,22.0
55,21 Days Guided-Meditation Practice - Mindfulness with PC,0.0,0,0.0,0,Health & Fitness,Meditation,Unknown,Prashant Chawla,English,False,0,0,0,4.5,0,No,49.98,22.0
56,How to enter the US market?,5.0,5,0.5,3,Business,Communication,Business Communication,Natalia Bucelnikova,English,False,0,3,0,1.0,1,No,108.98,22.0
57,Good Clinical Practice (GCP),4.2,5,0.5,236,Business,Industry,Good Clinical Practice,SONIC Performance Support - E-Learning Experts,English,False,0,0,0,1.5,6,Yes,40.98,22.0
58,Build a spare room studio for rapid video and audio creation,4.0,5,0.5,92,Marketing,Video & Mobile Marketing,Audio Production,Scott Doel,English,False,0,0,0,0.5666666666666667,0,No,29.98,22.0
59,Create and sell ebooks the complete course,5.0,5,0.5,1,Business,Sales,eBook Creation,Nicolas Forgue,English,False,0,0,0,6.5,0,No,108.98,22.0
60,Preparing Customer Marketing Campaign Plan,0.0,0,0.0,0,Marketing,Product Marketing,Marketing Plan,Jarod Lee,English,False,0,0,0,0.5333333333333333,4,No,29.98,22.0
61,Adobe Photoshop CC 2020: Fun New Features,0.0,0,0.0,0,Photography & Video,Photography,Photoshop,Tom Kai,English,False,0,0,0,1.0,7,No,59.98,22.0
62,The Human Voyage: The Life roadmap for those wanting better.,0.0,0,0.0,0,Lifestyle,Travel,Empowerment,Coach Hall,English,False,0,3,0,6.5,104,No,128.98,22.0
63,Developing an Effective FCPA Compliance Program,4.6,5,0.5,15,Finance & Accounting,Compliance,Accounting,Illumeo Learning,English,False,0,2,0,1.0,2,No,34.98,22.0
64,The Complete WordPress Aliexpress Dropship course,4.4,5,0.5,2067,Business,E-Commerce,Dropshipping,Tim Sharp,English,False,0,3,0,4.5,5,No,148.98,24.0
65,Apple Mac Basics - The Complete Course for beginners,4.6,5,0.5,461,Office Productivity,Apple,Mac Basics,Colin Marks,English,False,0,1,0,3.0,0,Yes,59.98,22.0
66,PTSD 2.0 - Post Traumatic Simply Dissolved,5.0,5,0.5,1,Personal Development,Personal Transformation,Mental Health,Adam Henson,English,False,0,0,0,4.0,17,No,44.98,22.0
67,How To Build A Brand On Social Media!,4.1,5,0.5,952,Marketing,Social Media Marketing,Business Branding,Everett Bowes,English,False,0,0,0,2.0,8,No,34.98,23.0
68,"Ecommerce with WordPress, woo Commerce, Amazon , Alibaba",0.0,0,0.0,0,Business,E-Commerce,WordPress for Ecommerce,Ucareer hub,English,False,0,2,0,2.0,2,No,40.98,22.0
69,Master Living Intentionally - For a Fuller Freer Life,5.0,5,0.5,2,Personal Development,Personal Productivity,Mindset,Martha D Karimi,English,False,0,3,0,0.55,7,No,40.98,22.0
70,Personal SEO : Become a Creative Brand Advocate ,5.0,5,0.5,2,Marketing,Social Media Marketing,SEO,Philip Campbell,English,False,0,0,0,4.0,0,No,29.98,22.0
71,Simplified Approach to DBMS,4.7,5,0.5,118,Development,Database Design & Development,Database Management,Parteek Bhatia,English,False,0,5,0,11.5,0,No,29.98,22.0
72,Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,4.6,5,0.5,3335,IT & Software,Hardware,RTOS,FastBit Embedded Brain Academy,English,False,0,8,0,14.0,10,Yes,49.98,24.0
73,High Performance Learning 2.0,4.3,5,0.5,479,Personal Development,Memory & Study Skills,Mindset,Tim Goodenough,English,False,0,20,0,3.0,3,No,128.98,22.0
74,Zoom For Business | How To Grow Your Business With Zoom,3.8,5,0.5,13,Marketing,Video & Mobile Marketing,Webinar,Zoolord Academy,English,False,0,1,0,1.0,0,No,128.98,22.0
75,"Complete Video Creation, Video Marketing, & YouTube MASTERY",4.4,5,0.5,591,Marketing,Video & Mobile Marketing,Video Marketing,"Ing. Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert",English,False,0,0,0,14.5,39,Yes,128.98,22.0
76,Generators in Python,5.0,5,0.5,1,Development,Programming Languages,Python,life michael,English,False,0,0,3,0.5,6,No,34.98,22.0
77,Forex-Money Management Strategy,0.0,0,0.0,0,Business,Other Business,Forex,Hamza Saeed,English,False,0,0,0,1.0,0,No,29.98,22.0
78,College Level Advanced Linear Algebra! Theory & Programming!,4.5,5,0.5,344,Teaching & Academics,Math,Linear Algebra,"Ahmed Fathy, MSc",English,False,0,15,0,35.0,2,No,138.98,22.0
79,Product Development and Management Processes,3.0,5,0.5,1,Business,Operations,Product Development,Profadev Technologies,English,False,0,0,0,0.6333333333333333,0,No,34.98,22.0
80,Best Practices for Interpreters,4.0,5,0.5,1,Business,Other Business,Translation Business,Svetlana O'Farrell,English,False,2,0,0,1.5,0,No,29.98,29.98
81,Wordpress Engagement Optimization:,0.0,0,0.0,0,Marketing,Growth Hacking,WordPress,Carlos Figueira,English,False,0,0,0,1.0,0,No,29.98,22.0
82,Ignite Your Podcast Power,4.6,5,0.5,4,Business,Media,Podcasting,Emmett Ferguson,English,False,0,13,0,4.5,9,No,40.98,22.0
83,Clear Mind Open Heart Meditation Part 1,0.0,0,0.0,0,Health & Fitness,Meditation,Unknown,"Brian Sheen, Ph.D",English,False,0,0,0,1.0,0,No,59.98,22.0
84,Business Development & B2B Sales for Startups- Sales Valley,4.5,5,0.5,4835,Business,Sales,Business Development,Patrick Dang,English,True,0,0,0,6.5,14,Yes,128.98,22.0
85,OBS Studio Master Course: The Complete Guide to Streaming,4.9,5,0.5,16,Lifestyle,Gaming,Open Broadcaster,Kelvin Sousa,English,False,0,4,0,5.0,0,Yes,59.98,22.0
86,All About Photography Exposure,4.9,5,0.5,8,Photography & Video,Digital Photography,Photography,Beyond Photography,English,False,0,0,0,1.0,0,No,29.98,22.0
87,LIMITING & DITHERING (with Slate Digital FG-X),0.0,0,0.0,0,Music,Music Software,Music Production,MUSICAL NOTES,English,False,0,0,0,1.5,0,No,29.98,22.0
88,The Origin Of Creation - The Big Bang Theory,5.0,5,0.5,1,Personal Development,Religion & Spirituality,Earth Science,Michael Mathiesen,English,False,0,0,0,1.0,0,No,59.98,22.0
89,Learn to Play Chess Openings Like a Master,4.7,5,0.5,209,Lifestyle,Gaming,Chess,Greg Vanderford,English,False,0,0,0,4.0,1,No,128.98,22.0
90,WorkflowMax cloud project management software course,5.0,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,Project Management,Maria S.,English,False,0,1,0,2.0,2,No,29.98,22.0
91,Learning Windows PowerShell,4.5,5,0.5,5803,IT & Software,Operating Systems & Servers,PowerShell,Infinite Skills,English,True,0,1,0,5.0,1,No,59.98,22.0
92,Psychic Development - Advanced,0.0,0,0.0,0,Lifestyle,Esoteric Practices,Psychic,Riki Davies,English,False,0,0,0,3.5,5,No,188.98,188.98
93,The Philosophy of FileMaker - Part 3,4.8,5,0.5,69,Development,Database Design & Development,FileMaker,John Mark Osborne,English,False,0,0,0,9.0,7,No,68.98,68.98
94,"Learn Guitar Repair - Module 1, Maintaining Your Guitar",4.5,5,0.5,336,Music,Other Music,Luthiery,Kevin Webb,English,False,0,26,0,1.5,17,No,34.98,22.0
95,Jiu Jitsu Triangle Choke,5.0,5,0.5,11,Health & Fitness,Sports,Martial Arts,Gavin Hain,English,False,0,0,0,2.0,0,No,49.98,22.0
96,Dealing with Bullies and Harassers,3.6,5,0.5,6,Personal Development,Stress Management,Bullying,Vasco Patrício,English,False,0,0,0,1.5,30,No,78.98,22.0
97,Newly Updated for 2020/21 - Comprehensive Guide to LinkedIn,4.5,5,0.5,595,Personal Development,Personal Brand Building,LinkedIn,Alastair Banks,English,False,0,0,0,1.5,0,No,104.98,22.0
98,Autopilot Bitcoin Systems,4.7,5,0.5,19,Finance & Accounting,Cryptocurrency & Blockchain,Bitcoin Trading,Benjamin Santos,English,False,0,0,0,3.0,9,No,128.98,22.0
99,"Alteryx Masterclass for Data Analytics, ETL and Reporting",4.5,5,0.5,188,Office Productivity,Other Office Productivity,Alteryx,Start-Tech Academy,English,False,0,2,0,6.0,0,Yes,128.98,22.0
100,Learn Live Looping On The RC-3 Loop Station.,4.0,5,0.5,1,Music,Other Music,Live Looping,Brad Cunningham,English,False,0,0,0,1.5,0,No,34.98,22.0
101,"Inbound Marketing: Content Marketing, KPI & Google Analytics",4.7,5,0.5,28,Marketing,Other Marketing,Inbound Marketing,Alex Genadinik,English,False,0,1,0,3.5,5,No,59.98,22.0
102,Data Analysis & Visualization: Python | Excel | BI | Tableau,4.4,5,0.5,192,Business,Business Analytics & Intelligence,Data Analysis,Bluelime Learning Solutions,English,False,0,1,0,9.5,31,No,59.98,22.0
103,Revit Architecture| Interior Modeling and Rendering,4.5,5,0.5,51,Design,Interior Design,Revit,Talha Hyder,English,False,0,0,0,3.0,3,No,34.98,22.0
104,Reading Music: Intervals,5.0,5,0.5,4,Music,Music Fundamentals,Reading Music,Jonathan Peters,English,False,0,5,0,1.5,19,No,29.98,22.0
105,GASP...Smarter - How to use Google Apps on your Smartphone,0.0,0,0.0,0,Office Productivity,Google,Google Office,John-Roy Cloete,English,False,0,0,0,0.6166666666666667,1,No,29.98,22.0
106,Monetize your Instagram as an Instagram Influencer in 2021,4.5,5,0.5,1112,Marketing,Social Media Marketing,Instagram Marketing,António Araújo,English,False,0,1,0,2.5,17,No,108.98,22.0
107,Premiere Pro Crash Course (2 Hours),0.0,0,0.0,0,Photography & Video,Video Design,Adobe Premiere,Alexis J. Estevez,English,False,0,1,0,2.0,2,No,40.98,22.0
108,Introduction to Positive Psychology,5.0,5,0.5,5,Teaching & Academics,Humanities,Positive Thinking,Jatin Adlakha,English,False,0,0,0,1.0,0,No,44.98,44.98
109,Pitch Perfect: Growth Hacker's Guide to PR & Media Coverage,3.8,5,0.5,19,Marketing,Public Relations,Unknown,Steve Young,English,False,0,0,0,2.0,1,No,29.98,22.0
110,Revenue Recognition - IFRS 15 & ASC 606,4.3,5,0.5,873,Finance & Accounting,Accounting & Bookkeeping,IFRS,Raffaelson Academy,English,False,0,0,0,4.0,6,No,34.98,22.0
111,The Ultimate Public Relations Masterclass,4.4,5,0.5,1489,Marketing,Public Relations,Unknown,Heather Baker,English,False,0,0,0,3.0,3,Yes,40.98,23.0
112,Elite Singing Techniques - Phase I,4.7,5,0.5,2762,Music,Vocal,Singing,Eric Arceneaux,English,False,0,1,0,3.5,45,No,108.98,108.98
113,MySQl complete guide,4.0,5,0.5,47,Development,Database Design & Development,MySQL,Rajan Singh,English,False,0,0,0,4.5,0,No,59.98,22.0
114,1 Corinthians: 16 Life Changing Lessons,5.0,5,0.5,1,Personal Development,Religion & Spirituality,The Bible,Boomy Tokan,English,False,0,1,0,1.5,1,No,29.98,22.0
115,Connect XL & Outlook -Access VBA & Collection Loops Series 7,5.0,5,0.5,4,Office Productivity,Microsoft,Excel,ajay parmar,English,False,0,0,0,7.0,5,No,29.98,22.0
116,EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,4.6,5,0.5,6673,Office Productivity,Microsoft,Excel,Steve McDonald,English,False,0,6,0,7.0,24,No,108.98,22.0
117,How to get the BEST car deal,4.9,5,0.5,5,Finance & Accounting,Other Finance & Accounting,Car Buying,Jose Rodriguez,English,False,0,0,0,0.5833333333333334,0,No,34.98,22.0
118,Certification in Kagi (TA) Charts & Smiling Buddha Strategy,5.0,5,0.5,76,Finance & Accounting,Finance Cert & Exam Prep,Financial Trading,Saad T. Hameed (STH),English,False,1,3,0,1.0,0,No,29.98,22.0
119,How to Train a Puppy,4.7,5,0.5,351,Lifestyle,Pet Care & Training,Pet Training,Ian Dunbar,English,False,0,1,0,15.0,0,Yes,128.98,22.0
120,QuickBooks (Beginners & Advanced): Fast Track Training,5.0,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,QuickBooks,Douglas Melvin,English,False,0,0,0,1.5,1,No,78.98,22.0
121,Machine Learning & Data Science Bootcamp with  R  & Python,5.0,5,0.5,1,Development,Data Science,Machine Learning,Academy of Computing & Artificial Intelligence,English,False,0,10,0,5.0,1,No,29.98,22.0
122,Basics of Virtual Reality and Create a Phone App using Unity,0.0,0,0.0,0,Teaching & Academics,Online Education,Virtual Reality,Dr. Aditya Gupte,English,False,0,0,0,8.0,0,No,34.98,22.0
123,"Professional Podcast Production, Editing & Blueprint",4.2,5,0.5,525,Business,Media,Podcasting,Ian Robinson,English,False,0,0,0,4.0,14,Yes,44.98,22.0
124,Houdini 18 - Procedural Prop Modeling - Chinese Knife,4.9,5,0.5,19,Development,Game Development,Houdini Software,Indie - Pixel,English,False,0,0,0,4.5,1,No,29.98,22.0
125,Kick basics in muay thai martial art of Thailand,0.0,0,0.0,0,Health & Fitness,Self Defense,Muay Thai,Chanuphon Yodsamai,English,False,0,0,0,1.0,0,No,128.98,22.0
126,"Marketing Strategy - Principles, Strategy, Practice",4.4,5,0.5,5,Marketing,Marketing Fundamentals,Marketing Strategy,Mark Meyerson,English,False,0,0,0,4.5,0,No,128.98,22.0
127,2021 Video Marketing & Advertising Via Effective YouTube Ads,4.4,5,0.5,88,Marketing,Advertising,YouTube Marketing,Alex Genadinik,English,False,0,2,0,3.5,13,No,78.98,23.0
128,Ultimate Beginner’s Guide to Photography Entrepreneurship,4.6,5,0.5,66,Photography & Video,Commercial Photography,Entrepreneurship Fundamentals,Eric Kim,English,False,0,1,0,5.0,4,No,128.98,22.0
129,Advertising Strategy For Online And Offline Business,5.0,5,0.5,1,Marketing,Advertising,Advertising Strategy,Eric Yeboah,English,False,0,0,0,1.0,0,No,108.98,22.0
130,Digital Audio Fundamentals,4.7,5,0.5,21,Music,Music Fundamentals,Digital Audio,Akash Murthy,English,False,0,0,0,3.0,0,No,29.98,22.0
131,Confidence: How to build a robust self-confidence for sport,5.0,5,0.5,1,Health & Fitness,Sports,Confidence,Roberto Forzoni,English,False,0,8,0,1.0,27,No,29.98,22.0
132,Level 3 Teacher Training Diploma Stability & Balance,0.0,0,0.0,0,Health & Fitness,Fitness,Teacher Training,Zayra Mo,English,False,0,7,0,6.0,2,No,128.98,22.0
133,Dropshipping with Shopify | Selling Online Worldwide,4.9,5,0.5,40,Business,E-Commerce,Shopify Dropshipping,Khalid Hussain,English,False,0,2,0,6.0,0,No,44.98,22.0
134,Photography - Become a Better Photographer - Part II,4.8,5,0.5,466,Photography & Video,Digital Photography,Photography,Bernie Raffe AMPA,English,False,0,1,0,4.5,0,No,44.98,22.0
135,How to Improve Your Marriage in 40 Days: A Course for Men,5.0,5,0.5,1,Personal Development,Parenting & Relationships,Marriage,Charles David Hanna,English,False,0,0,0,1.5,1,No,29.98,22.0
136,How to Buy Your First Rental House,4.8,5,0.5,55,Business,Real Estate,Real Estate Investing,Dennis Fassett,English,False,0,0,0,12.0,0,No,40.98,40.98
137,The Western Art of Frederic Remington,5.0,5,0.5,1,Teaching & Academics,Humanities,Art History,Federico von Borstel,English,False,0,0,0,2.0,0,No,128.98,22.0
138,U.S. Residential Mortgage Business,4.3,5,0.5,1662,Business,Real Estate,Mortgage,Starweaver Team,English,False,0,0,0,7.5,25,No,34.98,23.0
139,Exhale Stress Inhale Zen,4.5,5,0.5,1,Personal Development,Personal Transformation,Mindfulness,Mary Ann Stancel,English,False,0,0,0,1.5,14,No,34.98,22.0
140,Techniques to Cope With & Reduce Stress,5.0,5,0.5,1,Health & Fitness,Mental Health,Stress Management,Alan Eisenberg,English,False,0,2,0,1.0,1,No,40.98,22.0
141,Public Relations for Small Businesses and Entrepreneurs,0.0,0,0.0,0,Marketing,Public Relations,Unknown,Dominique Fields,English,False,0,0,0,1.0,10,No,59.98,22.0
142,Martial Arts Dim Mak,4.3,5,0.5,61,Health & Fitness,Self Defense,Martial Arts,Paul Brecher,English,False,0,35,0,0.7166666666666667,0,No,34.98,24.0
143,Content Marketing,4.3,5,0.5,153,Marketing,Content Marketing,Unknown,Steven Matt,English,False,0,0,0,0.5333333333333333,1,No,29.98,22.0
144,Talking to Your Employees About Stress at Work,4.7,5,0.5,10,Business,Communication,Stress Management,Deborah Grayson Riegel,English,False,0,0,0,1.5,21,No,108.98,108.98
145,Audition for Voice Over Jobs Like a Pro,5.0,5,0.5,2,Business,Entrepreneurship,Voice-Over,Trevor O'Hare,English,False,0,0,0,0.55,0,No,68.98,22.0
146,Lean Six Sigma - Yellow Belt Course with Certification,4.8,5,0.5,3,Business,Operations,Lean Six Sigma Yellow Belt,Dean Westbrook,English,False,0,0,0,3.5,15,No,29.98,22.0
147,Facebook Group Marketing Mastery 2021,4.0,5,0.5,15,Marketing,Social Media Marketing,Facebook Groups,Henry Zhang,English,False,0,0,0,0.5666666666666667,0,No,108.98,22.0
148,30-Day Marketer PRO Training Course (Digital Marketing),5.0,5,0.5,1,Marketing,Social Media Marketing,Unknown,Denzel Beauchamp,English,False,0,0,0,7.5,8,No,40.98,22.0
149,Selenium WebDriver Masterclass with C#,4.3,5,0.5,8536,IT & Software,Other IT & Software,Selenium WebDriver,Nikolay Advolodkin,English,False,0,83,0,28.5,12,Yes,138.98,22.0
150,Illustrator 2021 MasterClass,4.6,5,0.5,29345,Design,Graphic Design & Illustration,Adobe Illustrator,Martin Perhiniak,English,True,0,2,0,13.0,8,No,128.98,22.0
151,Copywriting for Beginners Part 2 of 3: Headlines & Openers,4.4,5,0.5,104,Marketing,Advertising,Copywriting,Alan Sharpe,English,False,0,0,0,1.0,0,No,59.98,22.0
152,Diploma in Information System Audit (DISA)- ICAI,4.2,5,0.5,5,IT & Software,Network & Security,Information Security,Hemang Doshi,English,False,5,0,0,0.0,0,No,29.98,29.98
153,How To Sculpt Your Own Earth Oven: For Home or Business,4.5,5,0.5,11,Lifestyle,Home Improvement,Cooking,im Simpl,English,False,0,2,0,2.5,37,No,55.98,22.0
