,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
0,IELTS Band 7+ Complete Prep Course,https://www.udemy.com/course/ielts-band-7-preparation-course/,"Keino Campbell, Esq.",4.5,22271,77.5,380,All Levels,139.99,12.99,100434
1,Spanish for Beginners. The Complete Method. Level 1,https://www.udemy.com/course/el-metodo-spanish-1/,Peter Hanley,4.7,16401,4.0,49,Beginner,19.99,12.99,61407
2,English Grammar Launch: Upgrade your speaking and listening,https://www.udemy.com/course/learn-english-grammar-upgrade-your-speaking-and-listening/,Anthony Kelleher,4.6,12249,6.0,66,Intermediate,39.99,13.99,64388
3,Learn German Language: Complete German Course - Beginners,https://www.udemy.com/course/german-course-for-beginners-learn-german/,AbcEdu Online,4.3,9658,17.0,62,All Levels,19.99,12.99,54357
4,3 Minute French - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-french-full-course-1/,Kieran Ball,4.7,9579,4.5,100,Beginner,179.99,16.99,38388
5,English for Beginners: Intensive Spoken English Course,https://www.udemy.com/course/complete-intensive-english-course-for-beginners/,Logus Online,4.4,8450,77.0,63,Beginner,174.99,15.99,36029
6,Mastering IELTS Writing: Task 2 (Achieve Band 7+ in 7 Hours),https://www.udemy.com/course/mastering-ielts-writing-task-2/,The IELTS Teacher,4.7,7794,7.5,36,All Levels,99.99,11.99,34961
7,Become an Algebra Master,https://www.udemy.com/course/integralcalc-algebra/,Krista King,4.7,6962,14.5,336,All Levels,159.99,14.99,43634
8,Become a Calculus 1 Master,https://www.udemy.com/course/calculus1/,Krista King,4.6,6762,17.0,300,All Levels,159.99,14.99,50793
9,Level 1 Intelligence Analyst Certification,https://www.udemy.com/course/level-1-intelligence-analyst-certification/,Robert Folker,4.4,6514,2.5,19,Beginner,19.99,11.99,54024
10,Become a Probability & Statistics Master,https://www.udemy.com/course/statistics-probability/,Krista King,4.7,6253,11.5,121,All Levels,169.99,15.99,46108
11,"Confidence On Camera: Make Amazing Videos, Easily.",https://www.udemy.com/course/be-comfortable-and-confident-on-camera/,Alexa Fischer,4.6,6214,5.0,61,All Levels,149.99,13.99,32949
12,"Spanish 1-4: Beginner, Elementary, Intermediate and Advanced",https://www.udemy.com/course/spanish-101-beginning-spanish-spanish-for-beginners/,Simple3 L,4.2,6089,109.0,323,All Levels,39.99,13.99,36936
13,Master the Fundamentals of Math,https://www.udemy.com/course/fundamentals-of-math/,Krista King,4.7,6042,6.0,143,All Levels,129.99,11.99,30591
14,Master Cognitive Biases and Improve Your Critical Thinking,https://www.udemy.com/course/upgrade-your-mindware/,Kevin deLaplante,4.4,5928,2.5,50,All Levels,94.99,11.99,17299
15,Online Japanese N5 Course(All 15 lessons),https://www.udemy.com/course/japanese-n5-course/,Attain Corp.,4.6,5259,21.5,248,Beginner,139.99,12.99,37181
16,PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,"TIA Education, Andrew Ramdayal",4.6,5276,35.0,423,All Levels,94.99,13.99,16145
17,The Complete TOEFL iBT Success Course (NEW VERSION),https://www.udemy.com/course/the-complete-toefl-ibt-success-course/,Maria Guryeva,4.5,4947,10.0,88,Intermediate,129.99,11.99,16802
18,Building Your English Brain,https://www.udemy.com/course/building-your-english-brain/,Luke Priddy,4.5,4785,3.0,15,All Levels,39.99,11.99,19108
19,English Vocabulary Launch: Upgrade your speaking,https://www.udemy.com/course/english-vocabulary-launch-upgrade-your-english-speaking-grammar/,Anthony Kelleher,4.6,4355,7.0,92,All Levels,39.99,11.99,27849
20,Counselling Skills Certificate Course (Beginner to Advanced),https://www.udemy.com/course/online-counselling-practitioner-course-counselling-skills/,"Kain Ramsay, Achology Ltd",4.5,4221,45.5,206,All Levels,129.99,12.99,21891
21,The Complete English Grammar Course - Perfect Your English,https://www.udemy.com/course/the-complete-english-grammar-course/,"TJ Walker, Derek Smith",4.5,4208,31.0,561,All Levels,149.99,13.99,136189
22,Online Japanese Beginner Course (All 12 lessons）,https://www.udemy.com/course/online-japanese-beginner-course/,Attain Corp.,4.6,4114,5.5,77,Beginner,89.99,11.99,20676
23,German Made Simple: A Complete Course for Serious Learners,https://www.udemy.com/course/german-made-simple/,Ingo Depner,4.5,4082,5.0,89,Beginner,149.99,13.99,30908
24,Accounting: From Beginner to Advanced!,https://www.udemy.com/course/accounting101/,"Stefan Ignatovski, Ph.D.",4.4,4069,5.5,86,All Levels,129.99,11.99,17751
25,spring Framework for Beginners with Spring Boot,https://www.udemy.com/course/spring-5-with-spring-boot-2/,Navin Reddy,4.5,3810,5.5,66,Beginner,129.99,11.99,53982
26,Workshop in Probability and Statistics,https://www.udemy.com/course/statshelp/,George Ingersoll,4.6,3697,22.0,74,All Levels,39.99,11.99,26874
27,IELTS Speaking Success - Get a Band 7+,https://www.udemy.com/course/ielts-speaking-success-get-a-band-7/,"Keith O'Hare, Dip TESOL, MSc.",4.7,3664,8.5,75,Intermediate,99.99,11.99,9385
28,"Electricity & electronics - Robotics, learn by building",https://www.udemy.com/course/analog-electronics-robotics-learn-by-building/,Ian Juby,4.7,3503,10.5,57,All Levels,99.99,13.99,23191
29,ISTQB Foundation level (CTFL) Training 2021 exam + 1500quiz,https://www.udemy.com/course/istqb-foundation-level-a-to-z-500-questions/,ISTQB Foundation level,4.5,3369,16.5,267,All Levels,149.99,15.99,29881
30,Business English Course for ESL Students,https://www.udemy.com/course/business-english-course-for-esl-students/,Shayna Oliveira,4.4,3353,6.0,40,Intermediate,59.99,12.99,19000
31,Diploma in Modern Applied Psychology (DMAP.),https://www.udemy.com/course/diploma-in-modern-applied-psychology-achology-certified/,"Kain Ramsay, Achology Ltd",4.5,3336,51.0,180,All Levels,149.99,13.99,16963
32,Practice and Perfect your French - Intermediate Level (HD),https://www.udemy.com/course/intermediate-french-master-the-past-tenses/,Anne Le Grand,4.6,1882,1.5,57,Intermediate,99.99,12.99,11039
33,"English grammar tenses & structures, the ultimate course",https://www.udemy.com/course/english-grammar-tenses-structures-the-ultimate-course/,Ustazy English Grammar Experts,4.2,1882,1.5,23,All Levels,19.99,11.99,154706
34,Business English: Easy English for Meetings,https://www.udemy.com/course/english-for-meetings/,Jacqueline Seidel,4.5,1878,2.0,17,Intermediate,49.99,11.99,8406
35,CORE KOREAN 1: Build up Korean Foundations through Practice,https://www.udemy.com/course/core-korean-1-build-up-korean-foundations-through-practice/,"Daniel Lin, Sookie Jung",4.5,1867,11.0,174,Beginner,129.99,11.99,8637
36,English Speaking Patterns Mastery: Upgrade your English,https://www.udemy.com/course/english-speaking-patterns-mastery-upgrade-your-english/,Anthony Kelleher,4.4,1857,5.5,59,All Levels,39.99,11.99,13596
37,Passing Certification Exams with Strategic Test Taking!,https://www.udemy.com/course/better-testing/,"Jason Dion • 275,000+ Students Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2",4.7,1842,3.0,25,All Levels,99.99,13.99,8402
38,Dialectical Behaviour Therapy (DBT) - ACCREDITED CERTIFICATE,https://www.udemy.com/course/dbt-certificate/,Elmira Strange,4.3,1816,3.0,26,Beginner,109.99,12.99,7290
39,Dominate GMAT Verbal - Comprehensive GMAT Verbal Prep Course,https://www.udemy.com/course/dominate-gmat-verbal/,Brett Ethridge,4.5,1813,9.0,37,All Levels,69.99,16.99,10602
40,Improve English by Movies,https://www.udemy.com/course/improve-english-by-movies/,Yusuf Katı,3.8,1805,14.0,177,Intermediate,0.0,199.99,43089
41,Teach Anybody Anything: Reach Any Learner Anywhere,https://www.udemy.com/course/teach-all-learners-simultaneously/,Jason Teteak,4.5,1803,2.0,8,All Levels,99.99,11.99,5540
42,Complete Spanish Course: Learn Spanish Language | Beginners,https://www.udemy.com/course/spanish-course-for-beginners/,AbcEdu Online,4.0,1782,14.5,56,All Levels,19.99,11.99,21475
43,Basic English Grammar And Structures,https://www.udemy.com/course/basic-english-grammar-and-structures/,"Seçkin Esen, Akın Demir",4.5,1754,6.5,73,Beginner,129.99,11.99,27767
44,Online Japanese N4 Course(All 15 lessons),https://www.udemy.com/course/japanese-n4-course/,Attain Corp.,4.6,1725,14.0,218,Beginner,139.99,12.99,20530
45,Complete High Speed Vedic Math Course,https://www.udemy.com/course/vedicmaths/,Gaurav Tekriwal,4.3,1720,14.5,57,All Levels,34.99,13.99,8732
46,3 Minute Spanish - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-spanish-full-course-1/,Kieran Ball,4.8,1716,5.5,109,Beginner,129.99,11.99,6769
47,German for beginners (A1 - Part 1/5),https://www.udemy.com/course/germanforbeginners-part1/,Juliane Klingenberg Nery,4.6,1697,5.0,64,Beginner,99.99,11.99,5745
48,English Fluency | How to Sound Like a Native English Speaker,https://www.udemy.com/course/improving-your-english-fluency/,Luke Priddy,4.6,1660,3.0,16,All Levels,39.99,11.99,8792
49,3 Minute Italian - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-italian-full-course-1/,Kieran Ball,4.6,1648,4.5,95,Beginner,129.99,11.99,5752
50,Speak English With Confidence: English Speaking Course,https://www.udemy.com/course/english-speaking/,"Charles Cornelius, MA, CertEd & CELTA",4.4,1617,7.0,131,Intermediate,129.99,11.99,10263
51,3 Minute French - Course 2 | Language lessons for beginners,https://www.udemy.com/course/3-minute-french-course-2/,Kieran Ball,4.7,1616,4.5,93,Beginner,159.99,14.99,11159
52,Teach English Online: find students and start teaching now,https://www.udemy.com/course/teach-english-online/,"Charles Cornelius, MA, CertEd & CELTA",4.6,1571,6.5,42,All Levels,139.99,12.99,7595
53,3 Minute German - Course 1 | Language lessons for beginners,https://www.udemy.com/course/3-minute-german-full-course-1/,Kieran Ball,4.7,1564,4.5,100,Beginner,129.99,11.99,5984
54,Child Psychology (Advanced Level) - ACCREDITED CERTIFICATE,https://www.udemy.com/course/child-psychology/,Elmira Strange,4.4,1560,2.0,22,All Levels,99.99,15.99,6850
55,Train the Trainer Virtual: Virtual Training Master Class,https://www.udemy.com/course/virtual-training-effective-methods-for-online-training/,Jason Teteak,4.1,1526,7.0,37,All Levels,129.99,11.99,5758
56,Become a Geometry Master,https://www.udemy.com/course/geometry-basics/,Krista King,4.7,1513,8.5,176,All Levels,174.99,15.99,17226
57,Learn Social Psychology - The Self & Self-Esteem,https://www.udemy.com/course/social-psychology-self-esteem/,"Andrew Luttrell, Ph.D.",4.1,1508,1.0,18,Beginner,19.99,11.99,6046
58,RF Basic Concepts & Components Radio Frequency- Entry Level,https://www.udemy.com/course/rf-fundamentals_all-basic-concepts_rahsoft/,"Rahsoft RF Certificate - Orange County, California",4.3,1503,4.5,38,Beginner,0.0,19.99,5482
59,The Complete English Grammar Course 1 - from A1 to C1 level,https://www.udemy.com/course/the-complete-english-grammar-course-from-a1-to-c1-level/,"Vyara Georgieva, Denis Buchel",4.4,1497,27.5,308,All Levels,129.99,11.99,8402
60,Level 2 Intelligence Analyst Certification,https://www.udemy.com/course/level-2-intelligence-analyst-certification/,Robert Folker,4.4,1489,1.0,7,Intermediate,34.99,11.99,5100
61,Voice-Over Training: Record And Edit Voice Overs Like A Pro,https://www.udemy.com/course/record-voice-overs-like-a-pro-step-by-step-blueprint/,"Peter Baker, Voiceover Masterclass",4.6,1480,6.5,57,All Levels,129.99,11.99,8483
62,Complete Russian Language course for Beginners A1,https://www.udemy.com/course/russian-courses-for-beginners-a1-with-native-speaker-siaso/,Siaso Academy,4.3,1439,5.0,137,All Levels,49.99,11.99,10227
63,Write a Book! Creative Writing Skills for Beginner Writers,https://www.udemy.com/course/writenow/,Brian Jackson,4.3,1406,17.0,188,Beginner,19.99,12.99,22853
64,Core Spatial Data Analysis: Introductory GIS with R and QGIS,https://www.udemy.com/course/core-spatial-data-analysis-with-r-and-qgis/,Minerva Singh,4.2,1403,2.5,33,All Levels,159.99,14.99,9624
65,Français Intensif - Intensive French Course for Beginners,https://www.udemy.com/course/francais-intensif-intensive-french-course-for-beginners/,Kamil Pakula,4.5,1385,7.5,107,Beginner,29.99,13.99,6571
66,3 Minute Portuguese - Course 1 | Lessons for beginners,https://www.udemy.com/course/3-minute-portuguese-full-course-1/,Kieran Ball,4.6,1366,3.5,75,Beginner,129.99,11.99,5049
67,Grammar Boot Camp: Easy Lessons for Common Writing Mistakes,https://www.udemy.com/course/grammar-boot-camp/,"S.J. Lawrence, PhD",4.3,1358,2.5,19,Beginner,49.99,11.99,6383
68,Introduction to Child Psychology - ACCREDITED CERTIFICATE,https://www.udemy.com/course/intro-child-psychology/,Elmira Strange,4.4,1359,2.0,20,Beginner,109.99,11.99,4932
69,Art History Renaissance to 20th Century,https://www.udemy.com/course/art-history-survey-1300-to-contemporary/,Kenney Mencher,4.5,1352,71.5,143,All Levels,24.99,15.99,10437
70,Become a Calculus 3 Master,https://www.udemy.com/course/calculus-3/,Krista King,4.7,1343,26.0,338,All Levels,139.99,12.99,24893
71,Mastering IELTS Writing: Task 1 (General Training),https://www.udemy.com/course/mastering-ielts-writing-task-1-general-training/,The IELTS Teacher,4.7,1330,6.5,26,All Levels,99.99,11.99,7136
72,UAS/Drone Remote Pilot Test Prep for Part 107,https://www.udemy.com/course/remote-pilot-certificate-test-prep-for-part-107-exam/,"Greg Reverdiau, Pilot Institute",4.8,1316,15.5,249,All Levels,0.0,129.99,4637
73,The Complete Train the Trainer Bootcamp - Beginners-Advanced,https://www.udemy.com/course/the-complete-train-the-trainer-bootcamp-beginners-advanced/,TJ Walker,4.5,1313,34.0,600,All Levels,159.99,14.99,27163
74,Hebrew For Beginners,https://www.udemy.com/course/hebrew-for-beginners/,"Guy B.M, Itzchak Pinhasov",4.7,1313,7.0,100,Beginner,129.99,11.99,8328
75,"Japanese Course for Absolute Beginners (Letters, Alphabet)",https://www.udemy.com/course/japanese-course-for-absolute-beginners-letters-alphabet/,Felicity Corp.,4.7,1307,6.5,45,Beginner,84.99,11.99,33427
76,Aerospace Engineering: Aircraft Fundamentals and Advanced,https://www.udemy.com/course/aerospace-engineering-aircraft-and-airplanes-course/,Lluís Foreman,4.4,1283,3.5,22,All Levels,99.99,12.99,3924
77,Monitoring and Evaluation,https://www.udemy.com/course/monitoring-and-evaluation/,Thomas Winderl,4.2,1280,1.0,21,Beginner,0.0,79.99,8131
78,Train the Trainer 101: For Beginners Only!,https://www.udemy.com/course/an-accelerated-guide-to-adult-learning-for-trainers/,Jason Teteak,4.6,1277,3.5,9,All Levels,139.99,12.99,4696
79,Teacher Training - How to Teach Online - Remote Teaching 1Hr,https://www.udemy.com/course/teacher-training-how-to-teach-online-remote-teaching-1hr/,TJ Walker,4.3,1006,41.0,18,Beginner,129.99,11.99,31866
80,Learn Arabic Online With Nassra Arabic Online for beginners,https://www.udemy.com/course/learn-spoken-arabic-with-the-nassra-arabic-method/,Omar Nassra,4.2,1006,8.5,54,Beginner,129.99,11.99,15683
81,Spanish for Beginners. The Complete Method. Level 3.,https://www.udemy.com/course/spanish-for-beginners-the-complete-method-level-3/,Peter Hanley,4.8,1006,4.0,52,Beginner,19.99,11.99,9044
82,Teaching with Google Classroom,https://www.udemy.com/course/googleclassroom/,Nathan Nagele,4.5,1001,4.0,84,All Levels,19.99,11.99,2928
83,Electronics - for Complete Beginners,https://www.udemy.com/course/electronics-for-complete-beginners/,Gene L. Warner,4.4,1000,10.0,57,Beginner,44.99,14.99,4866
84,The Complete Punctuation Course: English Writing - Grammar,https://www.udemy.com/course/the-complete-punctuation-course-english-writing-grammar/,"TJ Walker, Derek Smith",4.2,996,31.0,550,All Levels,149.99,13.99,67241
85,Learn German Language: Complete German Course - Intermediate,https://www.udemy.com/course/german-language-course-intermediate/,AbcEdu Online,4.4,994,7.0,31,All Levels,19.99,12.99,16809
86,CAPM® Certification: Ultimate CAPM Exam Prep-23 pdus /c.hrs,https://www.udemy.com/course/capm-certification-high-quality-realistic-exam-questions/,Sabri C. PMP,4.5,992,27.0,254,All Levels,129.99,11.99,7992
87,Udemy Masters 2016: Online Course Creation - Unofficial,https://www.udemy.com/course/unofficial-teach-online-courses-complete-udemy-course-creation-guide/,"Phil Ebiner, Video School",3.5,991,28.0,217,All Levels,29.99,12.99,40508
88,Learn to Read Biblical Hebrew,https://www.udemy.com/course/learn-to-read-biblical-hebrew/,Jeff Benner,4.7,981,3.0,57,Beginner,99.99,11.99,5147
89,Learn & Master Sign Language,https://www.udemy.com/course/learnandmastersignlanguage/,Legacy Learning Systems,4.5,979,49.0,374,All Levels,0.0,49.99,5400
90,ArcGIS Desktop For Spatial Analysis: Go From Basic To Pro,https://www.udemy.com/course/arcgis-desktop-for-spatial-analysis-go-from-basic-to-pro/,Minerva Singh,4.2,958,5.0,55,Beginner,139.99,12.99,4690
91,"Economics: Market Forces of demand, supply and equilibrium",https://www.udemy.com/course/the-market-forces-of-demand-supply-equilibrium/,Evrim Kanbur,4.3,967,1.0,23,Beginner,49.99,11.99,2143
92,Essential Business English,https://www.udemy.com/course/essential-business-english/,Jeffrey Hill,4.3,952,2.0,41,Intermediate,39.99,11.99,5803
93,Rockstar Teacher Training,https://www.udemy.com/course/rockstar-teacher-training/,Sadie Nardini,4.7,950,20.0,28,All Levels,99.99,11.99,7387
94,New SAT Reading 800: Guaranteed Results,https://www.udemy.com/course/satreading/,Philip Lee,4.5,947,3.0,20,All Levels,34.99,12.99,3709
95,About Life Coaching & Life Coach Training,https://www.udemy.com/course/life-coach-training/,Maia Berens,4.3,490,3.0,33,All Levels,19.99,11.99,20542
96,Beginner English: Practical Foundational English Training,https://www.udemy.com/course/beginner-english-esl/,"Scott Paton, Stephanie Hamilton, Scott Alex",4.0,488,1.5,16,Beginner,129.99,11.99,25684
97,Part 1 FAA Private Pilot Ground School (Part 61),https://www.udemy.com/course/part-1-faa-private-pilot-ground-school-part-61/,"Greg Reverdiau, Pilot Institute",4.9,488,8.5,161,All Levels,0.0,19.99,1675
98,Introduction to Statistics,https://www.udemy.com/course/introduction-to-statistics/,Quantitative  Specialists,4.4,486,2.5,33,Beginner,49.99,11.99,1964
99,Moodle 3.0x Masterclass: Complete Educator's Guide to Moodle,https://www.udemy.com/course/moodle-tutorial/,Srikanth Shirodkar,4.2,487,9.0,60,Beginner,129.99,11.99,3225
100,From Zero to NVivo 11 - Qualitative data analysis with NVivo,https://www.udemy.com/course/from-zero-to-nvivo-qualitative-data-analysis-with-nvivo/,Dr Jaroslaw Kriukow,4.6,482,3.0,33,Beginner,39.99,11.99,1444
101,Computational Fluid Dynamics Fundamentals Course,https://www.udemy.com/course/computational-fluid-dynamics-fundamentals-course/,Dr Aidan Wimshurst,4.6,479,2.5,5,Beginner,19.99,11.99,1633
102,Linear Algebra for Beginners: Open Doors to Great Careers,https://www.udemy.com/course/linear-algebra-an-introduction/,Richard Han,3.5,478,8.0,90,All Levels,19.99,11.99,4532
103,Learn Molecular Docking From The Scratch,https://www.udemy.com/course/learn-molecular-docking-from-the-scratch/,Thirumal Kumar,4.0,475,1.0,8,Beginner,19.99,11.99,3768
104,"More ESL English: Popular Listening Practice, Intermediate",https://www.udemy.com/course/8-more-secrets-to-understanding-native-english-speakers/,Nina Weinstein,4.3,475,1.5,16,Intermediate,24.99,11.99,1944
105,The Acts of the Apostles,https://www.udemy.com/course/the-acts-of-the-apostles/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,473,10.5,104,All Levels,0.0,89.99,1604
106,Everyday English for ESL,https://www.udemy.com/course/everydayenglish/,Jeffrey Hill,3.6,471,1.0,12,Intermediate,19.99,11.99,8843
107,Business English Idioms,https://www.udemy.com/course/business-english-idioms/,Dylan Gates,4.5,471,2.5,48,All Levels,29.99,11.99,5653
108,Learn to Read and Write Arabic For Beginners,https://www.udemy.com/course/beginarabic/,Abdul Wahid,4.7,471,5.5,93,All Levels,39.99,11.99,2809
109,SAS Programming - Learn SAS from Beginner to Advanced,https://www.udemy.com/course/learn-to-use-sas-in-academic-researches/,Alan H Yue,4.1,469,8.5,102,All Levels,129.99,11.99,3270
110,PTE Academic (English Test) - Mastering Speaking - Score 79+,https://www.udemy.com/course/pte-academic-mastering-speaking-score-80/,Sabrina Elai,4.1,469,2.5,21,All Levels,39.99,14.99,1928
111,IIBA CBAP CCBA ECBA Business Analysis Certification - Part 1,https://www.udemy.com/course/iiba-cbap-ccba-ecba-business-analysis-certification-part-1/,"Trividh Patel, CBAP",4.2,443,1.5,16,All Levels,0.0,19.99,1433
112,Effective Business English for Service Staff,https://www.udemy.com/course/business-english101/,Jacqueline Seidel,4.1,442,3.5,35,Intermediate,69.99,11.99,2315
113,IELTS Step-by-step | Mastering Listening,https://www.udemy.com/course/ielts-step-by-step-mastering-listening/,"James Castleden, MA Applied Linguistics & DELTA",4.5,442,27.0,76,All Levels,19.99,11.99,2919
114,Effective Business English for Logistics,https://www.udemy.com/course/effective-english-for-logistics/,Jacqueline Seidel,4.4,441,2.0,25,Intermediate,39.99,11.99,1915
115,Research Methodology,https://www.udemy.com/course/research-methods/,Sam Mahmud,4.5,439,3.0,28,All Levels,139.99,12.99,2078
116,Complete English Course: Learn English | Intermediate Level,https://www.udemy.com/course/english-course-intermediate/,AbcEdu Online,4.3,437,4.5,38,Intermediate,19.99,11.99,10117
117,Accounting 101 - The Principles Of Accounting,https://www.udemy.com/course/accounting-101-the-principles-of-accounting/,Shakir Elahi,4.3,434,1.5,17,Beginner,99.99,14.99,4874
118,English for IT Professionals,https://www.udemy.com/course/english-for-it/,"Olga Tomilova, Lilly Balaban",4.5,434,3.5,34,Intermediate,89.99,11.99,3031
119,Power 800 SAT Math (NEW SAT),https://www.udemy.com/course/power800satmath/,Huzefa Kapadia,4.2,433,22.5,169,All Levels,0.0,139.99,2987
120,"English Vocabulary - SAT, GRE, GMAT, TOEFL",https://www.udemy.com/course/dontmemorise_vocabulary/,Don't Memorise,4.7,433,1.5,102,Beginner,24.99,11.99,4225
121,Qualitative Data Analysis using MAXQDA: Scratch to Advanced,https://www.udemy.com/course/qualitative-data-analysis-using-maxqda/,Scholarsight Learning,3.4,431,4.0,72,All Levels,129.99,11.99,2246
122,Paul and His Letter to the Philippians,https://www.udemy.com/course/paul-and-his-letter-to-the-philippians/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,427,5.0,54,All Levels,0.0,99.99,1673
123,Learn to Differentiate and Integrate in 45 Minutes,https://www.udemy.com/course/differentiation-and-integration-rules/,Miran Fattah,4.3,427,1.0,17,Beginner,19.99,11.99,4522
124,3 Minute Spanish - Course 2 | Language lessons for beginners,https://www.udemy.com/course/3-minute-spanish-course-2/,Kieran Ball,4.8,426,5.0,102,Beginner,129.99,11.99,2647
125,Anatomy and Physiology I,https://www.udemy.com/course/anatomy-and-physiology/,Intelecom Learning,4.0,424,5.5,73,Beginner,39.99,11.99,3139
126,English Grammar Rules: English Grammar Basics,https://www.udemy.com/course/english-grammar-workout/,Terry Mc Gonigle,4.4,375,10.0,67,Intermediate,129.99,11.99,4557
127,Mastering sentence structure - Arabic speakers,https://www.udemy.com/course/mastering-sentence-structure-arabic-speakers/,Ahmad Belal,4.1,375,3.0,32,Intermediate,0.0,34.99,1057
128,5 Days to a Better Accent,https://www.udemy.com/course/5-days-to-a-better-accent/,Nicole Kaup,4.5,375,1.5,6,Expert,19.99,11.99,8245
129,Chinese Beginner 1 - Everything in HSK1,https://www.udemy.com/course/chinesebeginner1/,Winkie Wong,4.6,374,6.5,82,Beginner,24.99,11.99,2132
130,Excel at Teaching English: Be a Better ESL Teacher,https://www.udemy.com/course/english-for-esl-trainers/,"Jacqueline Seidel, O'Connell Advanced Training Solutions",4.7,373,4.0,53,All Levels,129.99,11.99,2137
131,Ultimate MATLAB Programming +MATLAB Simulink For Engineering,https://www.udemy.com/course/matlab4b/,"Rezk A., Ahmed Mahdy / Khadija Academy",4.4,373,17.0,97,All Levels,129.99,11.99,2366
132,Spanish for Beginners: Learn Spanish,https://www.udemy.com/course/spanish-for-beginners-learn-spanish/,Nathan Tecotzky,4.1,371,1.5,25,Beginner,0.0,149.99,7369
133,Master Linear Algebra 2020: The Complete Study Of Spaces,https://www.udemy.com/course/linearalgebra/,Kody Amour,4.4,368,11.5,70,Intermediate,19.99,11.99,5945
134,Proofread Like a Pro,https://www.udemy.com/course/proofread-like-a-pro/,Clare Lynch,4.6,368,2.0,48,All Levels,129.99,11.99,1812
135,Polish Language for Beginners: Master Polish Quickly!,https://www.udemy.com/course/polish-language-for-beginners/,"Janusz Przychodzen, Remi Dudek",4.3,364,7.5,64,Beginner,34.99,11.99,2791
136,Vision Board Workshop Facilitator,https://www.udemy.com/course/vision-board-workshop-facilitator/,"Mellisa Dormoy, CHt",4.5,364,2.0,32,Beginner,129.99,11.99,1536
137,The French Subjunctive - Full Course - Intermediate Level,https://www.udemy.com/course/french-subjunctive/,Anne Le Grand,4.6,363,1.0,43,Intermediate,99.99,14.99,3085
138,The Beginners Course for Clinical Research,https://www.udemy.com/course/clinical-research-for-beginners/,Vera Madzarevic,4.1,361,1.5,11,Beginner,129.99,11.99,1657
139,German for beginners (A1 - Part 2/5),https://www.udemy.com/course/germanforbeginners-part2/,Juliane Klingenberg Nery,4.9,360,5.5,65,Beginner,99.99,11.99,2895
140,GMAT® Math | Official Guide 2018,https://www.udemy.com/course/neatprep/,"Néve Chen, NeatPrep",3.9,360,30.5,430,All Levels,0.0,149.99,8409
141,GRE Math Prep Course | The A - Z on GRE Math Topic by Topic,https://www.udemy.com/course/gre-math-prep-course/,Olu Sanya,4.3,360,13.0,247,All Levels,39.99,12.99,2852
142,3 Minute Italian - Course 2 | Language lessons for beginners,https://www.udemy.com/course/3-minute-italian-course-2/,Kieran Ball,4.8,359,4.0,75,Beginner,129.99,11.99,2501
143,Master Pre Calculus and Trigonometry,https://www.udemy.com/course/master-pre-calculus/,Grant Hall,4.2,359,9.5,99,All Levels,99.99,11.99,3477
144,The Power of Play and its impact on early childhood learning,https://www.udemy.com/course/the-power-of-play/,Ruth Churchill Dower,4.6,357,1.0,11,All Levels,39.99,14.99,1548
145,Online Japanese N1 Course(All 10 lessons),https://www.udemy.com/course/japanese-n1-course/,Attain Corp.,4.5,357,11.5,218,Intermediate,129.99,11.99,8520
146,Introduction to Probability and Statistics,https://www.udemy.com/course/introduction-to-probability-and-statistics/,Dane McGuckian,4.4,356,8.5,96,All Levels,129.99,11.99,1092
147,My Google Classroom: Google Classroom Made Easy to Beginners,https://www.udemy.com/course/my-google-classroom-google-classroom-made-easy-to-beginners/,OMG - Mastermind,4.1,356,1.0,16,All Levels,49.99,11.99,24990
148,Conversational Russian for beginners,https://www.udemy.com/course/conversational-russian-for-beginners/,Станислав Пономарёв,4.6,356,11.0,184,Beginner,29.99,14.99,3610
149,Simply Good News,https://www.udemy.com/course/simply-good-news/,"N.T. Wright, David P. Seemuth, Jennifer Loop",4.7,355,2.0,17,Beginner,0.0,39.99,2230
150,Acoustics 201 : Loudspeaker measurements,https://www.udemy.com/course/acoustics-201-loudspeaker-measurements/,Marius Tanasescu,4.5,353,3.5,39,Intermediate,99.99,11.99,1655
151,CRISPR/Cas9 Crash Course for Beginners,https://www.udemy.com/course/gene-editing/,Muhammad Naeem,4.0,352,2.5,45,Beginner,49.99,11.99,1365
152,Petroleum Refining - Complete Guide to Products & Processes,https://www.udemy.com/course/petroleum-refining-complete-guide-to-products-processes/,Chemical Engineering Guy,4.4,351,14.5,214,Beginner,24.99,12.99,2568
153,"Pre Calculus, Calculus and Trigonometry",https://www.udemy.com/course/become-a-calculus-master-a-complete-calculus-1-course/,Engineering Education Hub by Prateek Porwal,4.5,350,9.5,80,All Levels,139.99,12.99,3221
