,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
645,"Math Fractions - add, subtract, multiply, divide fractions",https://www.udemy.com/course/how-you-can-be-good-at-maths-and-great-at-fractions/,Simon Deacon,4.4,53,3.0,22,All Levels,19.99,11.99,475
646,"English For Beginners - Conversation, Pronunciation, Grammar",https://www.udemy.com/course/english-for-beginners-start-speaking-now/,Mr. English,4.7,53,1.5,24,Beginner,49.99,11.99,1290
647,Introduction to Microbiology,https://www.udemy.com/course/introduction-to-microbiology/,Nicole Fauster,4.5,53,25.5,64,Beginner,0.0,24.99,247
648,Fast Learning Spanish Course: The Easy Way to Learn Spanish,https://www.udemy.com/course/spanishfirst-cc/,SpanishFirst Learning,3.7,53,1.5,9,Beginner,19.99,11.99,4015
649,Geometry,https://www.udemy.com/course/geometry-math/,Jackson Kailath,4.9,53,14.0,283,All Levels,99.99,11.99,640
650,Academic Writing for University,https://www.udemy.com/course/academic-writing-for-university/,Vanessa Haralambous,3.9,53,2.0,12,Beginner,19.99,11.99,9969
651,The Complete Italian Masterclass with Andrea,https://www.udemy.com/course/italianwithandrea/,Andrea Roccella,4.6,53,2.0,21,Beginner,129.99,11.99,256
652,English Tenses Structures : Upgrade your Understanding,https://www.udemy.com/course/english-tenses-structures-upgrade-your-understanding/,Noha Talat Ahmed Esmail,4.1,53,2.0,39,Beginner,99.99,11.99,18104
653,BMS - Building management system,https://www.udemy.com/course/bms-building-management-system/,Ibrahim M,4.4,52,5.0,29,All Levels,24.99,11.99,856
654,Reinforced Concrete II:  Design of Beams,https://www.udemy.com/course/design-of-reinforced-concrete-beams/,Hamid ElDarwich,3.2,52,1.5,12,Intermediate,99.99,11.99,1030
655,Mastering Polite English in Two Hours,https://www.udemy.com/course/mastering-polite-english-for-work-and-play/,Cerys Vaughan,4.5,52,2.0,20,Beginner,44.99,11.99,3111
656,Prezi for Educators,https://www.udemy.com/course/preziforeducators/,Bulent Dogan,4.0,52,1.0,26,All Levels,19.99,11.99,10376
